epoch,Training Loss,Validation Loss
84,0.24474543,0.26016116
85,0.22493477,0.21158892
86,0.23757581,0.23885244
87,0.21895352,0.27077353
88,0.23688123,0.22028154
89,0.23048696,0.23608536
90,0.23890258,0.24465275
91,0.22938114,0.2210427
92,0.20840481,0.23451596
93,0.21272245,0.2386074
94,0.205372,0.21150267
95,0.21306643,0.19601703
96,0.24077564,0.19490677
97,0.24614765,0.2135551
98,0.23610109,0.25634748
99,0.22925,0.22272694
100,0.22270857,0.2179454
101,0.22622941,0.24299508
102,0.2368112,0.24374074
103,0.22805488,0.22275835
104,0.21826696,0.24380118
105,0.2234526,0.2823757
106,0.22059603,0.22307402
107,0.21552314,0.21036106
108,0.22391473,0.21453059
109,0.20589471,0.2147916
110,0.2106059,0.21680164
111,0.20410703,0.20105606
112,0.19441608,0.22575021
113,0.20754345,0.20748919
114,0.22634634,0.2197935
115,0.2112753,0.25613678
116,0.21221296,0.25400108
117,0.22623262,0.24031037
118,0.22583647,0.22497547
119,0.20900199,0.23739856
120,0.19797514,0.22314674
121,0.20248528,0.21261215
122,0.20519812,0.19812691
123,0.2067323,0.20613343
124,0.21178783,0.21845031
125,0.21751148,0.20092154
126,0.19197161,0.21298277
127,0.19540198,0.20374519
128,0.21218218,0.19278622
129,0.19356686,0.18414581
130,0.20753208,0.19979966
131,0.21078736,0.21015167
132,0.22281769,0.23422635
133,0.20846866,0.1985187
134,0.21228069,0.23919863
135,0.19729012,0.22118026
136,0.20197995,0.20038116
137,0.19860035,0.20240068
138,0.20418125,0.19674575
139,0.19693376,0.19199443
140,0.2033025,0.19845283
141,0.19690551,0.19836557
142,0.19264488,0.18394005
143,0.1889793,0.17858738
144,0.18385692,0.1803078
145,0.19080198,0.1743887
146,0.1828036,0.17944914
147,0.19825117,0.19039166
148,0.18401721,0.19661075
149,0.21092409,0.18825209
150,0.19514012,0.22791928
151,0.22242025,0.26374388
152,0.24530923,0.24619931
153,0.21313702,0.20416164
154,0.24329485,0.18307942
155,0.22828954,0.25584042
156,0.22011524,0.2762457
157,0.23822993,0.21462637
158,0.21842808,0.19192415
159,0.21859598,0.20437104
160,0.21468186,0.25097644
161,0.21312888,0.20356596
162,0.20401883,0.17703134
163,0.18738163,0.20204294
164,0.19783357,0.19092035
165,0.18825324,0.18851
166,0.19647071,0.20920551
167,0.20312753,0.21576995
168,0.20315626,0.19171125
169,0.19671938,0.20368302
170,0.20184895,0.19140983
171,0.1963391,0.24283344
172,0.19238715,0.20730788
173,0.1898425,0.17657751
174,0.18852337,0.1808182
175,0.19643867,0.17922664
176,0.18851063,0.18298626
177,0.18554603,0.1934076
178,0.20169339,0.18850034
179,0.18580148,0.18442178
180,0.18009353,0.17854351
181,0.16697778,0.17806405
182,0.17768325,0.1713981
183,0.17323576,0.17521727
184,0.1953155,0.17296845
185,0.19609542,0.17267764
186,0.18423983,0.18155521
187,0.18309298,0.18110192
188,0.17618005,0.17370993
189,0.16427512,0.1669423
190,0.19247054,0.1681509
191,0.18345115,0.17410612
192,0.16942844,0.18101513
193,0.17659792,0.17971289
194,0.180132,0.17854732
195,0.18749325,0.1829837
196,0.17322758,0.18571573
197,0.16711481,0.1777159
198,0.17096372,0.18220282
199,0.18694648,0.1850375
200,0.18124825,0.1832431
