specificity,sensitivity,precision,F1_score,F2_score,DSC,F_beta,MAE,acc,threshold,F_beta_img_mean,F_beta_img_mean_defective
0.9997427032056997,0.7064086556998733,0.8325159389817274,0.7642955154391013,0.7284782422226214,0.7642953624758785,0.7995762810208906,0.0007874169715055833,0.9992125830284945,0.05,0.900696259707751,0.8538028267919668
0.9997464703622726,0.7030794838320683,0.8339091804457283,0.7629263225086159,0.7258549579083238,0.7629261684620765,0.7995742753754417,0.0007896731805929919,0.999210326819407,0.1,0.9002649377166506,0.8531678249717358
0.9997491073718735,0.7022471908651171,0.8351893093701586,0.7629706524733746,0.7253384913077439,0.7629704985008511,0.8002300190619546,0.0007885450760492876,0.9992114549239507,0.15,0.9007269835045867,0.8538480590484192
0.9997517443814745,0.7007906781729524,0.8363546061990677,0.762594969171414,0.7242699238861008,0.7625948149255525,0.8006146036974733,0.0007885450760492876,0.9992114549239507,0.2,0.9006858396585895,0.8537874861640347
0.9997528745284463,0.6989180189973121,0.8366127021577553,0.7615918113632217,0.7227075175471102,0.7615916563018261,0.8002311146735755,0.0007908012851366962,0.9992091987148634,0.25,0.90028889370088,0.8532030935040733
0.9997528745284463,0.6974615063051474,0.8363273451007167,0.7606082793460588,0.7214187327943604,0.7606081234671422,0.7995891868751208,0.0007934335290720061,0.999206566470928,0.3,0.8997766694843998,0.8524489856298109
0.9997540046754182,0.6962130668547205,0.836709177085094,0.7600228707429971,0.7204064935744561,0.7600227143940917,0.7994782294412486,0.0007945616336157104,0.9992054383663843,0.35,0.8996902195552821,0.8523217121230543
0.9997558882537046,0.6953807738877692,0.8375939847524827,0.7598910159382455,0.7198242440027646,0.7598908595088801,0.7998455663719266,0.000794185598767809,0.9992058144012322,0.4,0.8997237399967452,0.8523710616618749
0.9997570184006764,0.6941323344373423,0.8379804067224365,0.7593036734866516,0.71881060117566,0.7593035165859447,0.7997346661366117,0.0007953137033115133,0.9992046862966885,0.45,0.8994190523804128,0.8519224937822744
0.9997585252633056,0.6937161879538667,0.8387421381537756,0.75936697156482,0.718565455419692,0.75936681474099,0.800140515462351,0.0007945616336157104,0.9992054383663843,0.5,0.8996161985538302,0.8522127367598057
0.9997596554102774,0.6926758217451777,0.8391731785129385,0.7589195690374615,0.717735328372311,0.7589194118592364,0.8001222348160317,0.0007953137033115133,0.9992046862966885,0.55,0.899435781950002,0.8519471234263918
0.9997607855572492,0.6926758217451777,0.8398082742583733,0.7591791763552268,0.7178281870054413,0.7591790194117242,0.8005662696114554,0.000794185598767809,0.9992058144012322,0.6,0.8996601412136378,0.8522774301200776
0.9997626691355357,0.6910112358112752,0.8405466968259816,0.7584790886638032,0.7165048543811648,0.7584789311683819,0.8005676344858254,0.0007953137033115133,0.9992046862966885,0.65,0.8995169139064465,0.8520665676956019
0.9997634225668502,0.6897627963608484,0.8407304081053182,0.7578010496061843,0.7154573315614686,0.7578008915581437,0.8003084869424547,0.000796817842703119,0.9992031821572969,0.7,0.8992606978667859,0.8516893607483235
0.9997656828607939,0.6887224301521593,0.8418107831022862,0.7576105953668265,0.714717567813322,0.757610437198717,0.8007371202082368,0.0007964418078552176,0.9992035581921448,0.75,0.8992951280275704,0.8517400495961455
0.9997664362921085,0.687890137185208,0.842078451135487,0.7572150004734343,0.7140388769022014,0.7572148419884087,0.8006634257301143,0.0007971938775510204,0.9992028061224489,0.8,0.899202128178724,0.8516031331520103
0.9997675664390804,0.6862255512513055,0.8424010214961939,0.7563354418785905,0.7126496391498055,0.7563352826790122,0.8003661025043164,0.0007990740517905276,0.9992009259482094,0.85,0.8989386103608379,0.8512151763645669
0.9997702034486813,0.684560965317403,0.8435897433734385,0.7558007569160955,0.7113821138336195,0.7558005973172753,0.8006666544194021,0.0007994500866384289,0.9992005499133616,0.9,0.899199867794974,0.8515998053648228
0.9997747240365688,0.6814398666913358,0.845597727641209,0.7546954018541812,0.7089665324627022,0.7546952414155208,0.8010651632451684,0.0008005781911821332,0.9991994218088178,0.95,0.8989540607958542,0.8512379228383409
