image,cls,defect_px,pred_px,specificity,sensitivity,precision,F1_score,F2_score,DSC,F_beta,MAE,acc,MAE_prob,F_beta_corr,degenerate
exp1_num_297464,Blowhole,32,28,0.999960114849235,0.8124999746093758,0.9285713954081645,0.8666667143589505,0.8333333344017094,0.8666666688888889,0.8989362317605337,0.00015943877551020407,0.9998405612244898,0.00016618896546882273,0.8989362317605337,False
exp4_num_54308,Blowhole,275,248,0.9998396825514551,0.872727269553719,0.9677419315816858,0.917782067931227,0.8902077152149794,0.917782026925847,0.9440242501640266,0.0008569834183673469,0.9991430165816326,0.0008545444839496623,0.9440242501640266,False
exp3_num_108757,Blowhole,55,48,0.9999600965463586,0.8363636211570251,0.958333313368056,0.8932039256578486,0.8582089557529516,0.8932038845320012,0.9271318290965606,0.0002192283163265306,0.9997807716836735,0.0002252059297009702,0.9271318290965606,False
exp2_num_40424,Blowhole,152,194,0.9991404125819778,0.9934210460959142,0.7783505114518015,0.8728324366711663,0.9413965088012513,0.872832370309733,0.8192822797427027,0.0008769132653061224,0.9991230867346939,0.0008837605821918026,0.8192822797427027,False
exp6_num_346414,Blowhole,18,0,0.999999999980063,0.0,0.0,1.0,1.3888888695987657e-08,5.555555246913597e-08,1.0,0.0003587372448979592,0.999641262755102,0.0003630208841342908,0.0,True
exp1_num_327970,Blowhole,37,34,0.9999800554259164,0.8918918677867064,0.9705882067474058,0.929577476414608,0.9065934071066296,0.9295774657805991,0.9512195260085482,9.964923469387755e-05,0.9999003507653061,0.00010487148810291036,0.9512195260085482,False
exp3_num_328014,Blowhole,43,36,0.9999002652743721,0.7209302157923206,0.8611110871913588,0.7848102427339838,0.7451923089173447,0.7848101293062009,0.8241310370292816,0.00033880739795918367,0.9996611926020408,0.000337575403669123,0.8241310370292816,False
exp1_num_4944,Blowhole,125,133,0.9995005094603604,0.863999993088,0.8120300690824807,0.8372093929642785,0.8530805689524793,0.837209302956553,0.8234605636664666,0.0008370535714285714,0.9991629464285714,0.0008518634975768024,0.8234605636664666,False
exp5_num_54331,Blowhole,255,220,0.9999799683299617,0.8588235260438293,0.995454540929752,0.9221053012834465,0.883064516223335,0.9221052633218837,0.9602023910504788,0.0007374043367346938,0.9992625956632653,0.0007348555091259429,0.9602023910504788,False
exp4_num_297524,Blowhole,22,25,0.9999401842126263,0.9999999545454565,0.8799999648000014,0.9361702068809479,0.9734513276685723,0.936170214124038,0.9050633290137547,5.978954081632653e-05,0.9999402104591837,6.617702550595138e-05,0.9050633290137547,False
exp3_num_54291,Blowhole,227,224,0.9997597549300334,0.9339207007316269,0.9464285672034439,0.9401330653631081,0.936395759773502,0.9401330378267561,0.943512537904479,0.0005381058673469387,0.9994618941326531,0.0005287425110913367,0.943512537904479,False
exp3_num_853,Blowhole,108,0,0.9999999999800272,0.0,0.0,1.0,2.314814809456447e-09,9.259259173525378e-09,1.0,0.002152423469387755,0.9978475765306123,0.002156594858158102,0.0,True
exp3_num_51711,Blowhole,102,97,0.9998402364300867,0.8725490110534411,0.9175257637368478,0.8944724117708706,0.8811881190471522,0.8944723623393349,0.906739883924994,0.0004185267857142857,0.9995814732142857,0.0004163579236332847,0.906739883924994,False
exp5_num_328057,Blowhole,46,38,0.9999401555755049,0.7608695486767489,0.9210526073407209,0.8333334125849898,0.7882882892419446,0.8333333353174603,0.8783784735952666,0.00027901785714285713,0.9997209821428571,0.00028204233394760615,0.8783784735952666,False
exp3_num_346347,Blowhole,11,0,0.9999999999800657,0.0,0.0,1.0,2.2727272210743815e-08,9.090908264462886e-08,1.0,0.0002192283163265306,0.9997807716836735,0.0002232523547107194,0.0,True
